archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'arienzo - El Puntazo.flac;El puntazo;El puntazo;Juan D'Arienzo;Juan D'Arienzo;;;15/07/1952;1952-08-13;tango;tango;Alejandro Junissi;Musica: Alejandro Junnissi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'arienzo - El Flete.flac;El flete;El flete;Juan D'Arienzo;Juan D'Arienzo;;;01/01/1936;1936-04-03;tango;tango;Vicente Greco, Aut Gerónimo Gradito;Musica: Vicente Greco - Letra: Pascual Contursi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'arienzo - Ataniche.flac;Ataniche;Ataniche;Juan D'Arienzo;Juan D'Arienzo;;;1936-11-27;1936-11-27;tango;tango;Ernesto Ponzio;Musica: Ernesto Ponzio
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Demare\Lucio Demare, Raúl Berón - Moneda de Cobre.flac;Moneda de Cobre;Moneda de cobre;Lucio Demare;Lucio Demare;Raúl Berón;Raúl Berón;01-04-1943;1943-04-01;tango;tango;Carlos Vivan & Horacio Sanguinetti;Musica: Carlos Viván - Letra: Horacio Sanguinetti
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Demare\Lucio Demare, Raúl Berón - Tal Vez Será Su Voz.flac;Tal vez será su voz;Tal vez será su voz (Tal vez será mi alcohol);Lucio Demare;Lucio Demare;Raúl Berón;Raúl Berón;1943-09-13;1943-09-13;tango;tango;L. Demare, H. Manzi;Musica: Lucio Demare - Letra: Homero Manzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Demare\Lucio Demare, Raúl Berón - Oigo Tu Voz.flac;Oigo Tu Voz;Oigo tu voz;Lucio Demare;Lucio Demare;Raúl Berón;Raúl Berón;1943;1943-11-25;tango;tango;;Musica: Mario Canaro - Letra: Francisco García Jiménez
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi, Hugo Duval - En El Lago Azul.flac;En El Lago Azúl;En el lago azul;Rodolfo Biagi;Rodolfo Biagi;Hugo Duval;Hugo Duval;1959;1959-03-06;tango;tango;;Musica: Roberto Rufino - Letra: Alejandro Romay
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi, Hugo Duval - Espérame En El Cielo.flac;Espérame En El Cielo;Espérame en el cielo;Rodolfo Biagi;Rodolfo Biagi;Hugo Duval;Hugo Duval;1957;1957-05-24;tango;tango;;Musica: Paquito López Vidal - Letra: Paquito López Vidal
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi, Hugo Duval - Mariposita.flac;Mariposita;Mariposita;Rodolfo Biagi;Rodolfo Biagi;Hugo Duval;Hugo Duval;1965;1965;tango;tango;Aut: Francisco García Jiménez, Com: Anselmo A. Aieta;Musica: Anselmo Aieta - Letra: Francisco García Jiménez
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Lomuto\Francisco Lomuto, Fernando Diaz - Parque Patricios.flac;Parque Patricios;Parque Patricios;Francisco Lomuto;Francisco Lomuto;Fernando Díaz;Fernando Díaz;1941;1941-06-27;tango milonga;tango milonga;Francisco Laino Y Antonio Radicci;Musica: Francisco Laino y Antonio Radicci - Letra: Francisco Laino y Antonio Radicci
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Laurenz\Pedro Laurenz, Carlos Bermúdez - La Madrugada.flac;La Madrugada;La madrugada;Pedro Laurenz;Pedro Laurenz;Carlos Bermúdez;Carlos Bermudez;1944;1944-04-26;tango;tango;;Musica: Ángel Maffia - Letra: Cátulo Castillo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Laurenz\Pedro Laurenz, Carlos Bermúdez - Nada más que un corazón.flac;Nada más que un corazón;Nada más que un corazón;Pedro Laurenz;Pedro Laurenz;Carlos Bermúdez;Carlos Bermudez;1944;1944-10-04;tango;tango;Manuel Sucher & Carlos Bahr;Musica: Manuel Sucher - Letra: Carlos Bahr
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Laurenz\Pedro Laurenz, Carlos Bermúdez - Llueve Otra Vez.flac;Llueve Otra Vez;Llueve otra vez;Pedro Laurenz;Pedro Laurenz;Carlos Bermúdez;Carlos Bermudez;1944;1944-04-26;tango;tango;;Musica: Juan José Guichandut - Letra: Juan José Guichandut
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi, Alberto Castillo - La Vida Es Corta.flac;La vida es corta;La vida es corta;Ricardo Tanturi;Ricardo Tanturi;Alberto Castillo;Alberto Castillo;01/01/1941;1941-02-19;tango;tango;Aut: Francisco Gorrindo, Com: Ricardo Tanturi;Musica: Ricardo Tanturi - Letra: Francisco Gorrindo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Alberto Podestá, Carlos Almada - Mi Serenata.flac;Mi Serenata;Mi serenata;Edgardo Donato;Edgardo Donato;Alberto Podestá;Romeo Gavioli y Lita Morales;1952;1940-01-11;tango;tango;;Musica: Edgardo Donato - Letra: Juan Carlos Thorry
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Lita Morales, Horacio Lagos - Sinsabor.flac;Sinsabor;Sin sabor (Sinsabor);Edgardo Donato;Edgardo Donato;Lita Morales;Lita Morales y Horacio Lagos;09/10/1939;1939-03-27;tango;tango;AsCANIO E.DONATO-A.A.VEDANI;Musica: Ascanio Donato - Letra: César Vedani
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Lita Morales, Romeo Gavioli - Yo Te Amo.flac;Yo te amo;Yo te amo;Edgardo Donato;Edgardo Donato;Lita Morales;Romeo Gavioli y Lita Morales;20/02/1940;1940-09-30;tango;tango;Aut: Carlos César Lenzi, Com: Edgardo Donato;Musica: Edgardo Donato - Letra: Carlos Lenzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Di Sarli\Carlos Di Sarli, Alberto Podestá - Tu El Cielo Y Tu.flac;Tú el cielo y tú;Tú, el cielo y tú;Carlos Di Sarli;Carlos di Sarli;Alberto Podestá;Alberto Podestá;1944;1944-11-08;tango;tango;Aut: Héctor Marcó, Com: Mario Canaro;Musica: Mario Canaro - Letra: Héctor Marcó
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Di Sarli\Carlos Di Sarli, Alberto Podestá - Al Compás Del Corazón.flac;Al Compás del corazón;Al compás del corazón (Late un corazón);Carlos Di Sarli;Carlos di Sarli;Alberto Podestá;Alberto Podestá;1942;1942-04-09;tango;tango;Musica: Domingo Federico - Letra: Homero Expósito;Musica: Domingo Federico - Letra: Homero Expósito
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Di Sarli\Carlos Di Sarli, Alberto Podestá - Junto A Tu Corazon.flac;Junto A Tu Corazón (hoy Como Ayer);Junto a tu corazón;Carlos Di Sarli;Carlos di Sarli;Alberto Podestá;Alberto Podestá;1942;1942-06-23;tango;tango;Aut: José María Contursi, Com: Enrique Mario Francini, Héctor Luciano Stamponi;Musica: Enrique Francini y Héctor Stamponi - Letra: José María Contursi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi - Comparsa Criolla.flac;Comparsa criolla (Comme il faut);Comparsa criolla (Comme il faut);Ricardo Tanturi;Ricardo Tanturi;;;1941;1941-06-16;tango;tango;Rafael Iriarte;Musica: Rafael Iriarte
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi - Arrangaraz.flac;Argañaraz (Aquellas farras);Argañaraz (Aquellas farras);Ricardo Tanturi;Ricardo Tanturi;;;05/06/1940;1940-11-18;tango;tango;Roberto Firpo;Musica: Roberto Firpo - Letra: Enrique Cadícamo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi - Una Noche de Garufa.flac;Una Noche De Garufa;Una noche de garufa;Ricardo Tanturi;Ricardo Tanturi;;;05/06/1941;1941-05-06;tango;tango;Musica: Eduardo Arolas - Letra: Gabriel Clausi;Musica: Eduardo Arolas - Letra: Gabriel Clausi
