archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Orquesta Tipica Victor\Orquesta Tipica Victor - Viento Norte.flac;Viento norte;Viento norte (Bronca negra);Orquesta Típica Victor;Orquesta Típica Victor;;;1929;1929-11-06;tango;tango;;Musica: J. C. Suncho
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Orquesta Tipica Victor\Orquesta Tipica Victor - Coqueta.flac;Coqueta;Coqueta;Orquesta Típica Victor;Orquesta Típica Victor;;;1929;1929-06-19;tango;tango;;Musica: Osmán Pérez Freire
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Orquesta Tipica Victor\Orquesta Tipica Victor, Alberto Gómez - Ventarrón.flac;Ventarrón;Ventarrón;Orquesta Típica Victor;Orquesta Típica Victor;Alberto Gómez;Alberto Gómez;1933;1933-03-13;tango;tango;Blind Lemon Jefferson;Musica: Pedro Maffia - Letra: José Horacio Staffolani
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Gobbi\Alfredo Gobbi - Chuzas.flac;Chuzas;Chuzas;Alfredo Gobbi;Alfredo Gobbi;;;1949;1949-12-21;tango;tango;Agustín Bardi;Musica: Agustín Bardi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Gobbi\Alfredo Gobbi - Jueves.flac;Jueves;Jueves;Alfredo Gobbi;Alfredo Gobbi;;;1947;1947-07-30;tango;tango;Udelino Toranzo Y Rafael Rossi;Musica: Udelino Toranzo y Rafael Rossi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Gobbi\Alfredo Gobbi - Nueve Puntos.flac;Nueve Puntos;Nueve puntos;Alfredo Gobbi;Alfredo Gobbi;;;1952;1952-04-03;tango;tango;Francisco Canaro;Musica: Francisco Canaro
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Francini-Pontier\Francini-Pontier, Raúl Berón - Camouflage.flac;Camouflage;Camouflage (Camuflaje);Francini-Pontier;Francini-Pontier;Raúl Berón;Raúl Berón;13-08-1947;1947-08-13;tango;tango;Enrique Mario Francini & José García;Musica: Enrique Francini - Letra: José García (2)
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Francini-Pontier\Francini-Pontier, Raúl Berón - Remolino.flac;Remolino;Remolino;Francini-Pontier;Francini-Pontier;Raúl Berón;Raúl Berón;17-05-1946;1946-05-17;tango;tango;Alfredo De Angelis & José Rótulo;Musica: Alfredo De Angelis - Letra: José Rótulo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Francini-Pontier\Francini-Pontier, Raúl Berón - Uno y uno.flac;Uno y uno;Uno y uno;Francini-Pontier;Francini-Pontier;Raúl Berón;Raúl Berón;13-08-1947;1947-08-13;tango;tango;Julio Pollero & Lorenzo Traverso;Musica: Julio Pollero - Letra: Lorenzo Traverso
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'Arienzo, Héctor Mauré - Flor De Mal.flac;Flor del mal;Flor del mal;Juan D'Arienzo;Juan D'Arienzo;Héctor Mauré;Héctor Mauré;12-12-1940;1940-12-12;tango vals;tango vals;J.C. Graviz;Musica: Juan Carlos Graviz - Letra: Juan Carlos Graviz
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'arienzo, Héctor Mauré - Miedo.flac;Miedo;Miedo;Juan D'Arienzo;Juan D'Arienzo;Héctor Mauré;Héctor Mauré;31/12/1940;1940-12-31;tango vals;tango vals;Eladio Blanco & Iván Casadó;Musica: Eladio Blanco - Letra: Iván Casadó
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'Arienzo, Héctor Mauré - La serenata de ayer.flac;La serenata de ayer;La serenata de ayer;Juan D'Arienzo;Juan D'Arienzo;Héctor Mauré;Héctor Mauré;12-09-1941;1941-09-12;tango vals;tango vals;Manuel Buzón & Ismael Roberto Aguilar;Musica: Manuel Buzón - Letra: Ismael Aguilar
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Sassone\Florindo Sassone - Ojos negros.flac;Ojos negros;Ojos negros;Florindo Sassone;Florindo Sassone;;;1968;1968-08-19;tango;tango;Zeeden;Musica: Vicente Greco - Letra: Pedro Numa Cordoba
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Sassone\Florindo Sassone - Isla de capri.flac;Isla de Capri;Isla de Capri;Florindo Sassone;Florindo Sassone;;;1974;1974;tango;tango;Will Grosz;Musica: Will Grosz - Letra: Ángel Del Valle
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Sassone\Florindo Sassone - Pescadores de perlas.flac;Pescadores de perlas;Los pescadores de perlas (Les pêcheurs de perles);Florindo Sassone;Florindo Sassone;;;1971;1971;tango;tango;Georges Bizet Otmar Klase;Musica: Georges Bizet
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Dagostino\Angel D'Agostino, Ángel Vargas - Tres esquinas.flac;Tres Esquinas;Tres esquinas;Ángel D'Agostino;Ángel D'Agostino;Ángel Vargas;Ángel Vargas;1941;1941-07-24;tango;tango;;Musica: Angel D'Agostino y Alfredo Attadía - Letra: Enrique Cadícamo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Dagostino\Angel D'Agostino, Ángel Vargas - Ahora no me conocés.flac;Ahora no me conocés;Ahora no me conocés;Ángel D'Agostino;Ángel D'Agostino;Ángel Vargas;Ángel Vargas;1941-09-09;1941-09-09;tango;tango;A.Baliotti:Com;Musica: Armando Baliotti - Letra: Carlos Giampetruzzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Di Sarli\Carlos Di Sarli - Milonguero Viejo.flac;Milonguero Viejo;Milonguero viejo;Carlos Di Sarli;Carlos di Sarli;;;1955;1955-05-20;tango;tango;;Musica: Carlos Di Sarli - Letra: Enrique Carrera Sotelo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Di Sarli\Carlos Di Sarli - El Ingeniero.flac;El ingeniero;El ingeniero;Carlos Di Sarli;Carlos di Sarli;;;1955;1955-01-31;tango;tango;Musica: Alejandro Junnissi;Musica: Alejandro Junnissi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Di Sarli\Carlos Di Sarli - Champagne Tango.flac;Champagne Tango;Champagne tango;Carlos Di Sarli;Carlos di Sarli;;;1958;1958-11;tango;tango;;Musica: Manuel Aróztegui - Letra: Pascual Contursi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Canaro\Francisco Canaro, Ernesto Fama - Milonga del 900.flac;Milonga del 900;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1933;1933-05-08;tango milonga;tango milonga;;Musica: Sebastián Piana - Letra: Homero Manzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Canaro\Francisco Canaro, Roberto Maida - Silueta Porteña.flac;Silueta porteña;Silueta porteña;Francisco Canaro;Francisco Canaro;Roberto Maida;Roberto Maida;1936;1936-07-17;tango milonga;tango milonga;Aut: Orlando D‘Aniello, Ernesto Noli, Com: Nicolás Luis Cuccaro, Juan Ventura Cúccaro;Musica: Nicolás Luis Cuccaro y Juan Ventura Cuccaro - Letra: Ernesto Nolli y Orlando D'Aniello
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Caro\Julio De Caro - La Rayuela.flac;La rayuela;La rayuela;Julio De Caro;Julio de Caro;;;1941;1941;tango;tango;Julio De Caro;Musica: Julio De Caro
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Caro\Julio De Caro - El Pensamiento.flac;El Pensamiento;El pensamiento;Julio De Caro;Julio de Caro;;;1942;1942;tango;tango;;Musica: José Martínez - Letra: Francisco García Jiménez
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Caro\Julio De Caro - Catamarca.flac;Catamarca;Catamarca;Julio De Caro;Julio de Caro;;;1940;1940;tango;tango;Aut: Jesús Fernández Blanco, Com: Eduardo Arolas;Musica: Eduardo Arolas - Letra: Jesús Fernández Blanco
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi, Alberto Castillo - Decile que vuelva.flac;Decile que vuelva;Decile que vuelva;Ricardo Tanturi;Ricardo Tanturi;Alberto Castillo;Alberto Castillo;30/04/1942;1942-05-27;tango;tango;Aut: Miguel Bucino, Com: Miguel Bucino;Musica: Miguel Bucino - Letra: Miguel Bucino
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi, Alberto Castillo - Bailongo de los Domingos.flac;Bailongo de los domingos;Bailongo de los domingos;Ricardo Tanturi;Ricardo Tanturi;Alberto Castillo;Alberto Castillo;1943;1943-05-07;tango;tango;Aut: Francisco García Jiménez, Com: O. Arona;Musica: Oscar Arona - Letra: Francisco García Jiménez
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi, Alberto Castillo - Mi piba.flac;Mi piba;Mi piba (Mi piba linda);Ricardo Tanturi;Ricardo Tanturi;Alberto Castillo;Alberto Castillo;1943;1943-03-16;tango;tango;Aut: Rodolfo A. Sciammarella, Com: Rodolfo Sciammarella;Musica: Rodolfo Sciammarella - Letra: Manuel Romero
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'arienzo - Por Qué Razón.flac;Por qué razón;Por qué razón;Juan D'Arienzo;Juan D'Arienzo;;;1939-12-22;1939-12-22;tango;tango;Com: Salvador Grupillo;Musica: Salvador Grupillo - Letra: Francisco Antonio Lío
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'arienzo - El Cencerro 2.flac;El cencerro;El cencerro;Juan D'Arienzo;Juan D'Arienzo;;;1937;1937-12-09;tango;tango;José Martínez;Musica: José Martínez - Letra: Francisco Lío
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Darienzo\Juan D'arienzo - Maipo.flac;Maipo;Maipo;Juan D'Arienzo;Juan D'Arienzo;;;1939-04-18;1939-04-18;tango;tango;Com: Eduardo Arolas;Musica: Eduardo Arolas - Letra: Gabriel Clausi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi - Belgica.flac;Bélgica;Bélgica;Rodolfo Biagi;Rodolfo Biagi;;;1942;1942-01-20;tango;tango;;Musica: Enrique Delfino
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi - Didí.flac;Didí;Didí;Rodolfo Biagi;Rodolfo Biagi;;;1941;1941-10-21;tango;tango;;Musica: Roberto Firpo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi - El Yaguarón.flac;El Yaguarón;El Yaguarón;Rodolfo Biagi;Rodolfo Biagi;;;1940;1940-06-19;tango;tango;;Musica: Cipriano Nava
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Enrique Rodriguez\Enrique Rodriguez, Armando Moreno - Como Se Pianta la Vida.flac;Cómo se pianta la vida;Cómo se pianta la vida;Enrique Rodríguez;Enrique Rodríguez;Armando Moreno;Armando Moreno;01/12/1940;1940-08-20;tango;tango;C. Viván - C. Viván;Musica: Carlos Viván - Letra: Carlos Viván
