archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Juan Maglio\Juan Maglio - Tango Argentino.flac;Tango Argentino;Tango argentino;Juan Maglio;Juan Maglio;;;1929;1929-03-05;tango;tango;Juan Maglio;Musica: Juan Maglio - Letra: Alfredo Bigeschi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Juan Maglio\Juan Maglio - Quejas de Bandoneón.flac;Quejas de Bandoneón;Quejas de bandoneón;Juan Maglio;Juan Maglio;;;1927;1927;tango;tango;Juan Maglio;Musica: Juan de Dios Filiberto
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Juan Maglio\Juan Maglio, Jose Galarza - Alma en Pena.flac;Alma En Pena;Alma en pena;Juan Maglio;Juan Maglio;José Galarza;José Galarza;1928;1928-11-16;tango;tango;Juan Maglio;Musica: Anselmo Aieta - Letra: Francisco García Jiménez
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Dagostino\Angel D'Agostino, Ángel Vargas - Madreselva 79967-1_RP.flac;Madreselva;Madreselva (La polla);Ángel D'Agostino;Ángel D'Agostino;Ángel Vargas;Ángel Vargas;1944-12-05;1944-12-05;tango;tango;;Musica: Francisco Canaro - Letra: Luis César Amadori
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Dagostino\Angel D'Agostino, Ángel Vargas - Tomo y obligo 77002-1_RP.flac;Tomo y obligo;Tomo y obligo;Ángel D'Agostino;Ángel D'Agostino;Ángel Vargas;Ángel Vargas;1943-06-10;1943-06-10;tango;tango;;Musica: Carlos Gardel - Letra: Manuel Romero
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Dagostino\Angel D'Agostino, Ángel Vargas - Ninguna.flac;Ninguna;Ninguna;Ángel D'Agostino;Ángel D'Agostino;Ángel Vargas;Ángel Vargas;1942;1942-12-30;tango;tango;;Musica: Raúl Fernández Siro - Letra: Homero Manzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi, Alberto Castillo, José Raúl Iglesias - Mi romance.flac;Mi romance;Mi romance;Ricardo Tanturi;Ricardo Tanturi;Alberto Castillo;Alberto Castillo;1941;1941-07-07;tango vals;tango vals;Enrique Cadícamo;Musica: José Raúl Iglesias - Letra: Juan Bautista Gatti
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi, Alberto Castillo - Recuerdo.flac;Recuerdo;Recuerdo;Ricardo Tanturi;Ricardo Tanturi;Alberto Castillo;Alberto Castillo;08-11-1941;1941-01-08;tango vals;tango vals;Aut: Alfredo Ángel Pelaia, Com: Alfredo Ángel Pelaia;Musica: Alfredo Pelaia - Letra: Alfredo Pelaia
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Tanturi\Ricardo Tanturi, Alberto Castillo, Vicente Salerno, Samuel Aguayo - La serenata (mi amor).flac;La serenata (Mi amor);La serenata (Mi amor);Ricardo Tanturi;Ricardo Tanturi;Alberto Castillo;Alberto Castillo;30/04/1941;1941-05-06;tango vals;tango vals;Aut: Samuel Aguayo, Com: Vicente Salerno;Musica: Vicente Salerno - Letra: Samuel Aguayo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Fresedo\Osvaldo Fresedo, Roberto Ray - Canto de Amor.flac;Canto de Amor;Canto de amor;Osvaldo Fresedo;Osvaldo Fresedo;Roberto Ray;Roberto Ray;1934-06-18;1934-06-18;tango;tango;E. y O. N. Fresedo;Musica: Osvaldo Fresedo - Letra: Emilio Fresedo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Fresedo\Osvaldo Fresedo, Roberto Ray - Cordobesita.flac;Cordobesita;Cordobesita;Osvaldo Fresedo;Osvaldo Fresedo;Roberto Ray;Roberto Ray;1933-08-02;1933-08-02;tango;tango;E. Fresedo, P. Storti;Musica: Pascual Storti - Letra: Emilio Fresedo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Fresedo\Osvaldo Fresedo, Roberto Ray - Isla de Capri.flac;Isla de Capri;Isla de Capri;Osvaldo Fresedo;Osvaldo Fresedo;Roberto Ray;Roberto Ray;1935-02-15;1935-02-15;tango;tango;A. Del Valle, W. Grosz;Musica: Will Grosz - Letra: Ángel Del Valle
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi, Jorge Ortiz - Trenzas.flac;Trenzas;Trenzas;Rodolfo Biagi;Rodolfo Biagi;Jorge Ortiz;Jorge Ortiz;11/02/1945;1945-04-25;tango;tango;;Musica: Armando Pontier - Letra: Homero Expósito
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi, Jorge Ortiz - Ahora No Me Conocés.flac;Ahora no me conocés;Ahora no me conocés;Rodolfo Biagi;Rodolfo Biagi;Jorge Ortiz;Jorge Ortiz;23/11/1941;1941-09-26;tango;tango;Aut: Carlos Giampé, Com: Armando Baliotti;Musica: Armando Baliotti - Letra: Carlos Giampetruzzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi, Jorge Ortiz - Quiero Verte una Vez Mas.flac;Quiero Verte Una Vez Más;Quiero verte una vez más;Rodolfo Biagi;Rodolfo Biagi;Jorge Ortiz;Jorge Ortiz;06/07/1940;1940-07-16;tango;tango;Aut: José María Contursi, Com: Mario Canaro;Musica: Mario Canaro - Letra: José María Contursi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Donato Racciatti\Donato Racciatti, Nina Miranda - Gloria.mp3;Gloria;Gloria;Donato Racciatti;Donato Racciatti;Nina Miranda;Nina Miranda;1952;1952-07-24;tango;tango;;Musica: Humberto Canaro - Letra: Armando Tagini
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Biagi\Rodolfo Biagi, Jorge Ortiz - Ahora No Me Conocés.flac;Ahora no me conocés;Ahora no me conocés;Rodolfo Biagi;Rodolfo Biagi;Jorge Ortiz;Jorge Ortiz;23/11/1941;1941-09-26;tango;tango;Aut: Carlos Giampé, Com: Armando Baliotti;Musica: Armando Baliotti - Letra: Carlos Giampetruzzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Donato Racciatti\Donato Racciatti, Nina Miranda - Andate Con la Otra.mp3;Andate con la otra;Andate con la otra;Donato Racciatti;Donato Racciatti;Nina Miranda;Nina Miranda;1953;1953-08-20;tango;tango;;Musica: Carlos Vicente Geroni Flores - Letra: Enrique Dizeo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Horacio Lagos - La Milonga Que Faltaba.flac;La milonga que faltaba;La milonga que faltaba;Edgardo Donato;Edgardo Donato;Horacio Lagos;Horacio Lagos;1938;1938-02-05;tango milonga;tango milonga;Aut: Carlos Pesce, Com: Edgardo Donato;Musica: Edgardo Donato - Letra: Carlos Pesce
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Horacio Lagos - Sacale Punta.flac;Sácale punta;Sacale punta;Edgardo Donato;Edgardo Donato;Horacio Lagos;Horacio Lagos;1937;1938-03-09;tango milonga;tango milonga;Aut: Sandalio Gómez, Com: Osvaldo Donato;Musica: Osvaldo Donato - Letra: Sandalio Gómez
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Horacio Lagos - Ella es asi.flac;Ella es así;Ella es así;Edgardo Donato;Edgardo Donato;Horacio Lagos;Horacio Lagos;1938;1938-10-10;tango milonga;tango milonga;Aut: Manuel Carretero, Com: Luis Martino;Musica: Luis Martino - Letra: Manuel Carretero
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\De Angelis\Alfredo De Angelis, Julio Martel, Carlos Dante - Pregonera.flac;Pregonera;Pregonera;Alfredo De Angelis;Alfredo de Angelis;Julio Martel;Carlos Dante y Julio Martel;1945;1945-03-26;tango;tango;;Musica: Alfredo De Angelis - Letra: José Rótulo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\De Angelis\Alfredo De Angelis, Carlos Dante, Julio Martel - Remolino.flac;Remolino;Remolino;Alfredo De Angelis;Alfredo de Angelis;Carlos Dante;Carlos Dante y Julio Martel;1946;1946-05-24;tango;tango;;Musica: Alfredo De Angelis - Letra: José Rótulo
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\De Angelis\Alfredo De Angelis  Carlos Dante - La Brisa.flac;La Brisa;La brisa;Alfredo De Angelis;Alfredo de Angelis;Carlos Dante;Carlos Dante;1946;1946-04-26;tango;tango;;Musica: Francisco Canaro y Juan Canaro - Letra: Juan Andrés Caruso
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Lita Morales, Horacio Lagos - Sombra Gaucho 12722_TT.flac;Sombra Gaucho;Sombra gaucha;Edgardo Donato;Edgardo Donato;Lita Morales;Lita Morales y Horacio Lagos;1939;1939-03-27;tango;tango;Aut: Alberto Pellegrini, Com: Héctor Baldi;Musica: Héctor Baldi - Letra: Alberto Pellegrini
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Edgardo Donato\Edgardo Donato, Lita Morales, Horacio Lagos - Carnaval De Mi Barrio 12720_TT.flac;Carnaval De Mi Barrio;Carnaval de mi barrio;Edgardo Donato;Edgardo Donato;Lita Morales;Lita Morales y Horacio Lagos;1939;1939-03-27;tango;tango;Aut: Luis Rubistein, Com: Luis Rubistein;Musica: Luis Rubistein - Letra: Luis Rubistein
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Troilo\Anibal Troilo, Francisco Fiorentino - Malena.flac;Malena;Malena;Aníbal Troilo;Aníbal Troilo;Francisco Fiorentino;Francisco Fiorentino;1942;1942-01-08;tango;tango;;Musica: Lucio Demare - Letra: Homero Manzi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Troilo\Aníbal Troilo, Francisco Fiorentino - En Esta Tarde Gris.flac;En esta tarde gris;En esta tarde gris;Aníbal Troilo;Aníbal Troilo;Francisco Fiorentino;Francisco Fiorentino;23/07/1941;1941-07-18;tango;tango;Musica: Mariano Mores - Letra: José María Contursi;Musica: Mariano Mores - Letra: José María Contursi
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\Troilo\Aníbal Troilo, Francisco Fiorentino - El Bulín de la Calle Ayacucho.flac;El Bulín de la Calle Ayacucho;El bulin de la calle Ayacucho;Aníbal Troilo;Aníbal Troilo;Francisco Fiorentino;Francisco Fiorentino;1941;1941-06-17;tango;tango;;Musica: José Servidio y Luis Servidio - Letra: Celedonio Flores
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\De Angelis\Alfredo De Angelis, Carlos Dante - Ilusión Azul.flac;Ilusión Azul;Ilusión azul;Alfredo De Angelis;Alfredo de Angelis;Carlos Dante;Carlos Dante;1945;1945-06-08;tango vals;tango vals;;Musica: Arquímedes Arci - Letra: Arquímedes Arci
D:\Dropbox\MUSICA\MP3\TANGO\Edmundo\De Angelis\Alfredo De Angelis, Carlos Dante, Julio Martel - Pobre Flor.flac;Pobre Flor;Pobre flor (Primera ilusión);Alfredo De Angelis;Alfredo de Angelis;Carlos Dante;Carlos Dante y Julio Martel;1946;1946-01-07;tango vals;tango vals;L. Mottolese - V. F. Spindola;Musica: Luis Mottolese - Letra: Víctor Feliciano Spíndola
