archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer;coincidencia_titulo
D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\- Canaro Milongas\1122 M2 MILONGA DEL 900 Canaro y Famá.mp3;Milonga del novecientos;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;;1933-05-08;tango;tango milonga;Musica: Sebastián Piana - Letra: Homero Manzi;Musica: Sebastián Piana - Letra: Homero Manzi;6.0
D:\Dropbox\TDJ\MUSICA\Eva\Compilations\Fiesta Del 40\11-27   MILONGA  MILONGA DEL 900  FRANCISCO CANARO.m4a;Milonga del novecientos;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;;1933-05-08;tango;tango milonga;Musica: Sebastián Piana - Letra: Homero Manzi;Musica: Sebastián Piana - Letra: Homero Manzi;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\2 - Anoche a las Dos (Instrumental Remasterizado 2018).flac;Anoche a las Dos;Anoche a las dos;Francisco Canaro;Francisco Canaro;;;1926;1926-11-15;tango;tango;;Musica: Raúl de los Hoyos - Letra: Roberto Lino Cayol;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\3 - Toda Mia (Instrumental Remasterizado 2018).flac;Toda Mia;Toda mia;Francisco Canaro;Francisco Canaro;;;1926;1926-11-15;tango;tango;;Musica: ? - Letra: ?;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\4 - Oiga (Instrumental Remasterizado 2018).flac;Oiga;Oiga;Francisco Canaro;Francisco Canaro;;;1926;1926-11-15;tango;tango;;Musica: Edgardo Donato - Letra: Francisco Bastardi;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\5 - El Que Dirán (Instrumental Remasterizado 2018).flac;El Que Dirán;El que dirán;Francisco Canaro;Francisco Canaro;;;1926;1926-11-15;tango;tango;;Musica: Ernesto Di Cicco;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\6 - Calavera Viejo (Instrumental Remasterizado 2018).flac;Calavera Viejo;Calavera viejo;Francisco Canaro;Francisco Canaro;;;1926;1926-11-18;tango;tango;;Musica: Carlos Gardel y José Razzano - Letra: Carlos Gardel y José Razzano;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\7 - Pa' Que Más (Instrumental Remasterizado 2018).flac;Pa' Que Más;Pa' qué más;Francisco Canaro;Francisco Canaro;;;1926;1926-11-18;tango;tango;;Musica: José Ceglie - Letra: Atilio Supparo;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\9 - Páginas de Amor (Instrumental Remasterizado 2018).flac;Páginas de Amor;Páginas de amor;Francisco Canaro;Francisco Canaro;;;1926;1926-11-23;tango;tango;;Musica: Luis Riccardi - Letra: José González Castillo;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\10 - Florida (Instrumental Remasterizado 2018).flac;Florida;Florida;Francisco Canaro;Francisco Canaro;;;1926;1926-11-23;tango;tango vals;;Musica: Luis Riccardi;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\11 - No Tengo Amigos (Instrumental Remasterizado 2018).flac;No Tengo Amigos;No tengo amigos;Francisco Canaro;Francisco Canaro;;;1926;1926-12-01;tango;tango;;Musica: ? - Letra: ?;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\12 - El Ciruja (Instrumental Remasterizado 2018).flac;El Ciruja;El ciruja;Francisco Canaro;Francisco Canaro;;;1926;1926-12-01;tango;tango;;Musica: Ernesto de la Cruz - Letra: Alfredo Marino;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\13 - Corazón de Madre (Instrumental Remasterizado 2018).flac;Corazón de Madre;Corazón de madre;Francisco Canaro;Francisco Canaro;;;1926;1926-12-01;tango;tango vals;;Musica: Fernando Montoni;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\14 - Se Cortó la Redoblona (Instrumental Remasterizado 2018).flac;Se Cortó la Redoblona;Se corto la redoblona;Francisco Canaro;Francisco Canaro;;;1926;1926-12-01;tango;tango;;Musica: ? - Letra: ?;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 01 (Remasterizado)\15 - La Violetera (Instrumental Remasterizado 2018).flac;La Violetera;La violetera;Francisco Canaro;Francisco Canaro;;;1926;1926-12-01;tango;tango;;Musica: Anselmo Aieta - Letra: Francisco García Jiménez;5.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 02 (Remasterizado)\1 - Amor Que Pasa (Instrumental Remasterizado).flac;Amor que pasa;Amor que pasa;Francisco Canaro;Francisco Canaro;; ;1926-12-14;1926-12-14;shimmy;shimmy;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
