archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer;coincidencia_titulo
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Francisco Canaro - (1937-1939)\13.Prudencio Aragón - Mate amagro (26-06-1938).flac;Mate amargo;Mate amargo;Francisco Canaro;Francisco Canaro;;;1938-06-26;1938-06-20;tango;tango;Musica: Prudencio Aragón;Musica: Prudencio Aragón;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\10 No Me Pregunten Porque 1-Es160.mp3;No me pregunten por qué;No me pregunten por qué;Francisco Canaro;Francisco Canaro;;Ernesto Famá;1939;1939-10-25;tango;tango;;Musica: Carlos Di Sarli - Letra: Reynaldo Pignataro;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\No Me Pregunten Porque hia res -1_1-.mp3;No me pregunten por qué;No me pregunten por qué;Francisco Canaro;Francisco Canaro;;Ernesto Famá;1939;1939-10-25;tango;tango;;Musica: Carlos Di Sarli - Letra: Reynaldo Pignataro;6.0
D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\- CANARO - Fama - A\NO ME PREGUNTEN PORQUE Famá.mp3;No me pregunten por qué;No me pregunten por qué;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1939;1939-10-25;tango;tango;Musica: Carlos Di Sarli - Letra: Reynaldo Pignataro;Musica: Carlos Di Sarli - Letra: Reynaldo Pignataro;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\7\05 Desde El Alma          -     1_1.mp3;Desde el alma;Desde el alma;Francisco Canaro;Francisco Canaro;;;1940;1940-05-23;tango vals;tango vals;Musica: Rosita Melo - Letra: Homero Manzi y Víctor Piuma Vélez;Musica: Rosita Melo - Letra: Homero Manzi y Víctor Piuma Vélez;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\3\Desde El Alma -  Comodin.mp3;Desde el alma;Desde el alma;Francisco Canaro;Francisco Canaro;;;1940;1940-05-23;tango vals;tango vals;Musica: Rosita Melo - Letra: Homero Manzi y Víctor Piuma Vélez;Musica: Rosita Melo - Letra: Homero Manzi y Víctor Piuma Vélez;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\6\15 La Rumbita CandombeRR1-esu320(160.mp3;La negrita candombe (La rumbita candombe);La negrita candombe (La rumbita candombe);Francisco Canaro;Francisco Canaro;Carlos Roldán;Carlos Roldán;1943;1943-07-16;candombe;candombe;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\6\15 La Rumbita Candombé    - esu160.mp3;La negrita candombe (La rumbita candombe);La negrita candombe (La rumbita candombe);Francisco Canaro;Francisco Canaro;Carlos Roldán;Carlos Roldán;1943;1943-07-16;candombe;candombe;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\6\15 Desde El Alma.mp3;Desde el alma;Desde el alma;Francisco Canaro;Francisco Canaro;Nelly Omar;Nelly Omar;1947;1947-10-22;tango vals;tango vals;Musica: Rosita Melo - Letra: Homero Manzi y Víctor Piuma Vélez;Musica: Rosita Melo - Letra: Homero Manzi y Víctor Piuma Vélez;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\6\18 Paja Brava.mp3;Paja brava;Paja brava;Francisco Canaro;Francisco Canaro;; ;1961-12;1961-12;pericon;pericon;Musica: Francisco Canaro - Letra: Ivo Pelay;Musica: Francisco Canaro - Letra: Ivo Pelay;6.0
