 BPM, POPULARITY,AUTHOR,AUTHOR (2),COMPOSER,DATE,DIRECTOR,LYRICS,ORCHESTRA,SINGER,SOLOIST,TITLE,URL
,,Reinaldo Yiso,,Luis Maggiolo,1961-10-04,,"Escucha la canción
Que anoche te escribí,
Escucha la canción
Es sólo para ti...
En ella encontrarás
Mis sueños y mi amor,
Mis besos y mis ansias
Escucha corazón.

Esta canción
Es para ti, mi vida
Tiene el calor
Del sol de tus pupilas...
En ella está
La noche de tu pelo
Y el rojo terciopelo
Sublime de tus labios...

Esta canción
Escrita con mi sangre
Repetirá
Que vivo para amarte...
Esta canción
Es el tierno juramento
De que en todos los momentos
Te querrá mi corazón.",Rodolfo BIAGI,Hugo Duval,,Cancion para un cariño (TANGO),https://www.el-recodo.com/music?id=00011&lang=en
,,Enrique Santos Discepolo y Alfredo Le Pera,,Enrique Santos Discepolo,1941-09-26,,"Yo no sé por qué extraña razón, encontré...
Carillón de Santiago que está en la Merced,
En tu son inmutable la voz de mi andar,
De viajero incurable que quiere olvidar.

Milagro peregrino
Que un llanto combinó,
Tu canto, como yo
Se cansa de vivir,
Y rueda sin saber
Dónde morir...

Penetraste el secreto
De mi corazón,
Porque oyendo tu son
La nombré sin querer...
Y es así como hoy sabes
Quién era y qué fue,
¡La que busco llorando
y... que no encontraré!

Mi vieja confidencia
Te dejo, Carillón,
Se queda en tu tañir
Y al volver a partir,
Me llevo tu emoción
Como un adiós.",Rodolfo BIAGI,Jorge Ortiz,,Carrillón de La Merced (TANGO),https://www.el-recodo.com/music?id=00012&lang=en
,,Alejandro Romay,,Leo Lipesker,1958-11-12,,"¿Dónde está el por qué de mis ansias y mi fe?
¿Dónde la razón de mi intensa desazón?
Dónde, sino en tus sueños que me alientan tanto,
sino en tus labios que al brindar su encanto
me dan las fuerzas de luchar por ti.

¿Quién le dio a mi voz el acento de tu voz?
¿Quién llenó de luz largas horas de ansiedad?
Alguien que desde el cielo señaló el camino
para poder unir nuestros destinos
y así lograr nuestra felicidad.

Todo es amor,
la brisa y tú
jugando en el rumor,
y el ruiseñor
cantando en una flor
buscando amor, amor...

Todo es amor,
la rosa y yo
trepando en tu balcón,
después los dos
temblando de emoción
buscando amor, amor...",Rodolfo BIAGI,Hugo Duval,,Todo es amor (TANGO),https://www.el-recodo.com/music?id=00013&lang=en
,,Pascual De Gullo,,Pascual De Gullo,1941-03-26,,"Inmenso es el pesar que tu ausencia me ha causado,
Mi corazón desgarrado sangra de tanto llorar,
Ya no puedo vivir sin tus dulces sonrisas
Lágrimas cruentas derramo sabiendo que te perdí...

Tus sonrisas, mágicas de encanto son
Embeleso de mis lágrimas de amor,
Me acarician con su divino rubor
Soñándolas, vana ilusión, consuelo mi corazón...

Porque te amaba de veras
Forjaba quimeras con loca ansiedad,
Y en tus hermosas sonrisas
Quedó prisionera mi felicidad...

Hoy que el recuerdo se ahonda en la mente
Quisiera verte una vez más,
Para confiarte en secreto, alma mía
Que mi amor, no te olvido jamás...

Bésame con pasión tu boca me murmuraba,
No te atormentes, que nada de ti me separará,
Siempre te nombrarán mis lágrimas sentidas
Por tus sonrisas fingidas, estoy enfermo de amor...",Rodolfo BIAGI,Instrumental,,Lágrimas y sonrisas (VALS),https://www.el-recodo.com/music?id=00014&lang=en
,,Otello Enrique Elli,,Carlos Ignacio Rivero,1943-03-03,,"Tus ojos tienen al mirar,
De una ilusión
Sin fruto, dolor.
Y en tu sonrisa hay el pesar,
De un loco sueño
Que triste murió...

Hay en tus besos,
La amargura de un amor,
Que nunca, nunca más
Ha de volver,
Y son las penas del querer,
Llora el recuerdo que se disipó...

Ayer te vi solita y apenada
Suspirando de emoción,
¡Por algo será!,
Y vi con gran pesar que tu mirada,
La angustia reflejaba
De tu desolación...

Al ir a consolarte, me dijiste
Que era inmenso tu dolor,
¡Por algo será!,
Y tus lágrimas rodaron,
Llamando al corazón
Que no te supo amar...",Rodolfo BIAGI,Alberto Amor,,Por algo será (TANGO),https://www.el-recodo.com/music?id=00015&lang=en
,,,,Arturo De Bassi,1938-08-19,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Rodolfo BIAGI,Instrumental,,El Incendio (TANGO),https://www.el-recodo.com/music?id=00016&lang=en
,,Horacio Sanguinetti,,Oscar de la Fuente,1951-07-30,,"De satén y color negro, la pollera.
De charol y tacos altos, los zapatos.
Dibujando garabatos,
del ritmo que se adueña
tu estampa de porteña.

Tu conoces el secreto de los tangos
y es por eso que los bailas como nadie.
Y en los brazos que te abrazas,
que mística que pasas,
danzando en el salón.

Sacerdotisa del tango,
sacerdotisa sentida.
Rito es la danza en tu vida
y el tango que tu amas
te quema en su llama.

Sacerdotisa del tango,
que en los salones de rango,
bailas en brazos de un hombre
que luce el renombre
de gran bailarín.",Rodolfo BIAGI,Hugo Duval,,Bailarina de tango (TANGO),https://www.el-recodo.com/music?id=00017&lang=en
,,Enrique Cadícamo,,Juan D'Arienzo,1943-12-07,,"Por un recuerdo que me sigue siempre,
por un pasado que borrar no puedo,
es esta pena cruel, es este gran amor,
que nunca, nunca, deja ya de florecer.
Por esos días de felices horas,
en mis desvelos, siempre, siempre están.
Tú eres mi mal sentimental
y yo un triste atardecer.

Si la llegaran a ver,
si la llegaran a hablar,
que no sepa que aún
yo tengo su querer
igual, igual clavado como ayer.
Si la llegaran a ver,
si la llegaran a hablar,
yo no quiero que le digan
de que aún está en mi corazón.

La tarde triste se revuelve en lluvia
y yo, muy solo, en mi ventana sueño,
golpeando en el cristal, las hojas al caer,
aumenta mi enorme decepción sentimental.
Ausencia enorme, soledad inmensa,
recuerdo triste, nudo de emoción.
Tú ya ni te acordarás de mi
yo en cambio pienso en ti.",Rodolfo BIAGI,Alberto Amor,,Si la llegaran a ver (TANGO),https://www.el-recodo.com/music?id=00018&lang=en
,,Juan Andrés Caruso,,Roberto Firpo,1939-03-24,,"Peregrino y soñador,
cantar
quiero mi fantasía
y la loca poesía
que hay en mi corazón,
y lleno de amor y de alegría,
volcaré mi canción.

Siempre sentí
la dulce ilusión,
de estar viviendo
mi pasión.

Si es que vivo lo que sueño,
yo sueño todo lo que canto,
por eso mi encanto
es el amor.
Mi pobre alma de bohemio
quiere acariciar
y como una flor
perfumar.

Y en mis noches de dolor,
a hablar
me voy con las estrellas
y las cosas más bellas,
despierto he de soñar,
porque le confío a ellas
toda mi sed de amar.

Siempre sentí
la dulce ilusión,
de estar viviendo
mi pasión.

Yo busco en los ojos celestes
y renegridas cabelleras,
pasiones sinceras,
dulce emoción.
Y en mi triste vida errante
llena de ilusión,
quiero dar todo
mi corazón.",Rodolfo BIAGI,Teofilo Ibañez,,Alma de bohemio (TANGO),https://www.el-recodo.com/music?id=00019&lang=en
,,Carlos Bahr,,Elías Randal,1946-06-18,,"Gracias,
porque al borde del abismo
cuando estaba ya perdido
animaste mi esperanza.
Gracias,
por el bien que a mi existencia
sin fortuna
trajo la ternura de tu voz.
Gracias,
por la aurora que encendiste
por la fe que me enseñaste
por la vida que me diste.
Gracias,
porque un día me salvaste
de vivir sin corazón
con tu canción.

En cien noches de dolor
te llamó mi oración
y el milagro de tu amor
a mi voz respondió.
En la oscura cerrazón de mi vida
fue tu amor como una estrella encendida
y hoy le doy gracias a Dios
por tu amor y mi amor.",Rodolfo BIAGI,Carlos Saavedra,,Gracias (TANGO),https://www.el-recodo.com/music?id=00020&lang=en
