 BPM, POPULARITY,AUTHOR,AUTHOR (2),COMPOSER,DATE,DIRECTOR,LYRICS,ORCHESTRA,SINGER,SOLOIST,TITLE,URL
,,Angel Di Rosa,,Héctor Gentile,1958-11-00,,"¿No ves que nos queremos, alma mía?
No llores corazón, no llores más,
Si el miedo de alejarnos todavía
Nos sigue torturando sin piedad.
¿Cómo seguir así en un infierno
si el cielo, este cielo, es de los dos?
Uniendo nuestros labios en un beso
Busquemos el cariño que nos regala Dios.

¿No ves que este amor no está en pedazos?
¿No ves cómo tiemblas en mis brazos?
¿No ves cómo a mi lado te sueña el corazón?
Busquemos en un beso, esa pasión.
¿No ves? Nos queremos todavía
Si en un beso fuiste mía
En un beso está el amor.

¿No ves que todavía nos queremos?
Lo dice tu ansiedad y mi pasión,
¿No ves este cariño que es tan nuestro?
¿Por qué alejar del alma el corazón?
¿Cómo seguir así en un infierno?
¿No ves que hoy te quiero más que ayer?
Que nunca este amor, que es más eterno
Por culpa de los celos nos haga enloquecer.",Carlos DI SARLI,Jorge Duran,,Si nos queremos todavía (TANGO),https://www.el-recodo.com/music?id=02376&lang=en
,,Pintín Castellanos,,Pintín Castellanos,1930-11-04,,"Los gratos recuerdos que paso la juventud 
De nuevo vuelven a poblar la mente
Al mirar la vieja estancia
Bajo el sol resplandeciente

[Aquel caserío el árbore del viejo…]
Como testigo mudo de otra vida
Evocan todos una visión
Llenando el alma de emoción",Carlos DI SARLI,Ernesto Fama,,La estancia (TANGO),https://www.el-recodo.com/music?id=02377&lang=en
,,Justo Ricardo Thompson,,Graciano Gómez,1953-11-00,,"La trajo el mar, viajera del cansancio,
Paloma gris, que al fin cayó en mis brazos,
Así llegó, atándome a angustia
Para llorar y no quererme nunca.
Porque en sus labios, sin aromas no había besos
Era un ángel ya sin rezos
Que perdió su corazón.
Y en toda su historia de ausencia y amor
Me hablaba de un puerto, del mar y de Dios.

Hoy, recibí la triste carta,
Que dejó, despidiéndose de mí:
“Voy a morir y el mar me llama”.
Escribió y ya nunca más la vi.
Así su desventura viviré
Y desde entonces me quedé
Sin luz, amor ni corazón.

¿Quién puede amar sin esperanza
y vivir con la muerte de olvidar?
Se fue una tarde igual y gris,
La misma tarde en que hasta mí
Con su canción la trajo el mar.
Su amor, me preguntas: ¿Por dónde andará?
¡Qué importa saberlo, si ya no vendrá!",Carlos DI SARLI,Oscar Serpa,,La misma tarde (TANGO),https://www.el-recodo.com/music?id=02378&lang=en
,,Homero Expósito,,Hugo Gutiérrez,1943-11-04,,"Todo, todo, todo te había dado,
la ilusión que no alcanza,
la canción de mi pasado...

Todo, todo, todo lo más mío
para ahogar con esperanzas
los rincones de tu hastío...

Nadie, nadie puede, nadie nunca
darse tanto, tanto y tanto
cuando un lirio se le trunca...

¡Nadie, nadie puede, y sin embargo,
en la cruz de tu letargo
te di mi amor!

Y así el amor,
copa de luz
llena de alcohol,
llena de azul
vino otra vez con sus canciones
para llenarnos de ilusiones...
Y así el amor,
flor de algodón,
vino a cantar
para los dos
y todo fue dar en un día
todo, todo el corazón...

Pero vino un día la novela
a mostrarme los anhelos
de mi vida aventurera.
Y sabiendo acaso mis mentiras
ocultaste tus desvelos
en el gris de una sonrisa...
Sé que nadie puede, nadie nunca
darse tanto, tanto y tanto
cuando un lirio se le trunca...
¡Sé que nadie puede, y sin embargo,
tu me estabas esperando
cuando volví!",Carlos DI SARLI,Roberto Rufino,,Todo (TANGO),https://www.el-recodo.com/music?id=02379&lang=en
,,Héctor Marcó,,José García y Graciano Gómez,1943-12-17,,"Acercate a mi
y oirás mi corazón
contento latir
como un brujo reloj.
La noche es azul,
convida a soñar,
ya el cielo ha encendido
su faro mejor.
Si un beso te doy,
pecado no ha de ser;
culpable es la noche
que incita a querer.
Me tienta el amor,
acércate ya,
que el credo de un sueño
nos revivirá.

Corre, corre barcarola,
por mi río de ilusión.
Que en el canto de las olas
surgirá mi confesión.

Soy una estrella en el mar
que hoy detiene su andar
para hundirse en tus ojos.
Y en el embrujo
de tus labios muy rojos,
por llegar a tu alma
mi destino daré.
Soy una estrella en el mar
que hoy se pierde al azar
sin amor ni fortuna.
Y en los abismos
de esta noche de luna,
sólo quiero vivir,
de rodilla a tus pies,
para amarte y morir.

Acércate a mi
y oirás mi corazón
contento latir
como un brujo reloj.
Mi voz te dirá
Palabras de miel
que harán de tu pecho
fuego encender.
El canto del mar
repite en su rumor
qué noche de luna,
qué noche de amor.
Dichoso de aquel
que pueda decir,
yo tengo un cariño
qué dulce es vivir.

Corre, corre barcarola,
que la luna se escondió.",Carlos DI SARLI,Roberto Rufino,,Esta noche de luna (TANGO),https://www.el-recodo.com/music?id=02380&lang=en
,,José González Castillo,,Cátulo Castillo,1942-11-30,,"Al paso tardo de un pobre viejo
puebla de notas el arrabal,
con un concierto de vidrios rotos,
el organito crepuscular.
Dándole vueltas a la manija
un hombre rengo marcha detrás
mientras la dura pata de palo
marca del tango el compás.

En las notas de esa musiquita
hay no sé qué de vaga sensación
que el barrio parece
impregnarse todo de emoción.
Y es porque son tantos los recuerdos
que a su paso despertando va
que llena las almas con un gran deseo de llorar.

Y al triste son
de esa su canción
sigue el organito lerdo
como sembrando a su paso
más pesar en el recuerdo,
más calor en el ocaso.
Y allá se va
de su tango al son
como buscando la noche
que apagará su canción.

Cuentan las viejas que todo saben
y que el pianito junta a charlar
que aquel viejito tuvo una hija
que era la gloria del arrabal.
Cuentan que el rengo era su novio
y que en el corte no tuvo igual...
Supo con ella, y en las milongas,
con aquel tango reinar.

Pero vino un día un forastero,
bailarín, buen mozo y peleador
que en una milonga
compañera y pierna le quitó.
Desde entonces es que padre y novio
van buscando por el arrabal
la ingrata muchacha
al compás de aquel tango fatal.",Carlos DI SARLI,Instrumental,,Organito de la tarde (TANGO),https://www.el-recodo.com/music?id=02381&lang=en
,,Pascual Contursi,,Manuel Aróztegui,1944-07-20,,"Esas minas veteranas
que siempre se conformaban,
que nunca la protestaban
aunque picara el buyón,
viviendo así en su cotorro
pasando vida pibera
en una pobre catrera
que le faltaba el colchón.

¡Cuántas veces a mate amargo
el estomago engrupía
y pasaban muchos días
sin tener para morfar!
La catrera era el consuelo
de esos ratos de amargura
que, culpa 'e la mishiadura
no tenía pa' morfar.

Se acabaron esas minas
que siempre se conformaban
con lo que el bacán les daba
si era bacán de verdad.
Hoy sólo quieren vestidos
y riquísimas alhajas,
coches de capota baja
pa' pasear por la ciudad.

Nadie quiere conventillo
ni ser pobre costurera,
ni tampoco andar fulera...
Sólo quieren aparentar
ser amigo de fulano
y que tenga mucho vento
que alquile departamento
y que la lleve al Pigall.

Tener un coche,
tener mucama
y gran 'chapó'
y pa' las farras
un gigoló;
pieza alfombrada
de gran parada,
tener sirvienta
y... ¡qué se yo!
Y así...
de esta manera
en donde quiera
'champán tangó'.",Carlos DI SARLI,Instrumental,,Champagne tango (TANGO),https://www.el-recodo.com/music?id=02382&lang=en
,,Héctor Marcó,,Carlos Di Sarli,1946-00-00,,"Luciendo su color de esperanza
viste el campo
su plumaje
y el viento hace vibrar sus cordajes
en los pastos
y en la flor.
Yo tengo mi ranchito en la loma
donde cantan
los zorzales...
Margaritas
y rosales
han brotado para ti,
porque un día será ese nido gaucho
de los dos.

Florecerán mis ilusiones
y se unirán los corazones.
Dime que sí,
que la noche pampera abrirá
y su rayo de luna pondrá
luz de amor en tus ojos.
No digas no,
que el dolor secará mi rosal
y en la cruz de mi rancho el zorzal
morirá por tu amor.

Mañana, cuando el sol se ilumine,
entre gotas de rocío
el llanto de este cariño mío
sobre el trébol pisarás.
Recuerda que por ti lo he vertido
y si sientes mi tormento,
golondrina,
cara al viento,
tus dos alas
abrirás...
Y de un solo vuelo mis tristezas
matarás.",Carlos DI SARLI,Jorge Duran y Bob Toledo,,Nido gaucho (TANGO),https://www.el-recodo.com/music?id=02383&lang=en
,,Luis Rubistein,,Luis Rubistein,1941-02-18,,"¿Belgrano sesenta once?
Quisiera hablar con Renée...
¿No vive allí?... No, no corte...
¿Podría hablar con usted?
No cuelgue... La tarde es triste.
Me siento sentimental.
Renée ya sé que no existe...
Charlemos... Usted es igual...

Charlando soy feliz...
La vida es breve...
Soñemos en la gris
tarde que llueve.
Hablemos de un amor...
Seremos ella y él
y con su voz
mi angustia cruel
será más leve...
Charlemos, nada más.
Soy el cautivo
de un sueño tan fugaz
que ni lo vivo.
Charlemos, nada más,
que aquí, en mi corazón,
oyéndola siento latir
otra emoción...

¿Qué dice? ¿Tratar de vernos?
Sigamos con la ilusión...
Hablemos sin conocernos
corazón a corazón...
No puedo... No puedo verla...
Es doloroso, lo sé...
¡Cómo quisiera quererla!
Soy ciego... Perdóneme...",Carlos DI SARLI,Roberto Rufino,,Charlemos (TANGO),https://www.el-recodo.com/music?id=02384&lang=en
,,Manuel Romero,,Rodolfo Sciammarella,1942-07-29,,"Necesito olvidar
esta pena de amor,
ya no se que intentar
ya no se cómo ahogar
este inmenso dolor.
Es mentira que el tiempo
suele todo borrar.
ya no es cosa de ayer
este eterno pensar
que me va a enloquecer.

Música y fiesta
me lo recuerdan,
baile y bebida
son para peor.
Si ando con copas
veo sus ojos,
si escucho un tango
oigo su voz...",Carlos DI SARLI,Roberto Rufino,,Necesito olvidar (TANGO),https://www.el-recodo.com/music?id=02385&lang=en
,,Enrique Carrera Sotelo,,Juan Andrés Pérez,1931-06-23,,"Sufriendo el frío chaparrón
De su cruel y gaucho desdén,
Lleno de pena y de ternura
Sigo tu huella, mesmo que ayer.

Con el calor de una ilusión
Y la ventura de un querer,
Yo formaré un nidito
Pa´ este cariño mío
Que sufre, china, por ser fiel.",Carlos DI SARLI,Ernesto Fama,,La baguala (TANGO),https://www.el-recodo.com/music?id=02386&lang=en
,,Manuel Barros,,Julián Plaza,1957-09-30,,"Cuántas veces por vos,
he llegado a mentir
en el nombre de Dios.
¿No me viste callar,
con un gesto feroz,
por temor a gritar?
No te quedes un minuto más,
que mi vida ya no tiene paz.
Pero al verte partir,
con horror te abracé
por temor a morir.

¡Cuánta angustia! ¡Cuánta pena!
Todo duele, todo quema...
Y quema más y más y duele más
la nieve de tu carne de azucena.
¡Cuánta angustia! ¡Cuánto espanto!
Es vivir, queriendo tanto.
Cuando la vida, nos deja entre los brazos
un mísero retazo,
de compasión.

En mis horas sin Dios,
las rodillas doblé,
y recé por los dos.
Fui pequeño, lo sé,
como un alma sin luz
que no sueña ni ve.
¡He jugado corazón! Perdí,
y la vida se negó total.
Hoy que debo pagar
ni me pongo a correr,
ni me inclino a rezar.",Carlos DI SARLI,Roberto Florio,,Cuánta angustia (TANGO),https://www.el-recodo.com/music?id=02387&lang=en
,,Carlos Bahr,,Elías Randal,1946-08-29,,"Gracias,
porque al borde del abismo
cuando estaba ya perdido
animaste mi esperanza.
Gracias,
por el bien que a mi existencia
sin fortuna
trajo la ternura de tu voz.
Gracias,
por la aurora que encendiste
por la fe que me enseñaste
por la vida que me diste.
Gracias,
porque un día me salvaste
de vivir sin corazón
con tu canción.

En cien noches de dolor
te llamó mi oración
y el milagro de tu amor
a mi voz respondió.
En la oscura cerrazón de mi vida
fue tu amor como una estrella encendida
y hoy le doy gracias a Dios
por tu amor y mi amor.",Carlos DI SARLI,Jorge Duran,,Gracias (TANGO),https://www.el-recodo.com/music?id=02388&lang=en
,,Carlos Bahr,,Manuel Sucher,1956-12-12,,"Tu boca puede más que mi cordura
y me tortura la tentación,
con sólo imaginar que tu me besas
ardo en intensa fiebre de amor.
Mi vida es una llama que se inflama
al soplo de una racha de pasión.
Y un ansia que no deja pensar nada,
un ansia atormentada, me arrastra en su turbión.

Hay algo siempre en ti, que me provoca.
Y hay algo siempre en mí, que me apasiona.
Y en medio de los dos, la furia loca
que enciende la pasión en nuestras bocas.
Mil veces he intentado rebelarme,
negándome a esta ciega tentación,
mas tengo un corazón, y soy de carne.
Y al verte junto a mí, vuelvo a besarte,
muriéndome de amor.

Me asusta esta ansiedad con que yo espero
cada momento de nuestro amor.
Me aturde este afiebrado sentimiento
en que me enciendo sin salvación.
Qué embrujo del amor caldeó mi sangre,
qué fiebre me enardece el corazón
y anima en mi flaqueza irresponsable
en ansia irremediable que puede más que yo.",Carlos DI SARLI,Jorge Duran,,Muriéndome de amor (TANGO),https://www.el-recodo.com/music?id=02389&lang=en
,,,,Osvaldo Fresedo,1952-10-27,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,Pimienta (TANGO),https://www.el-recodo.com/music?id=02390&lang=en
,,Mario Battistella,,Pedro Vergez,1929-01-08,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,Arlequín (TANGO),https://www.el-recodo.com/music?id=02391&lang=en
,,José González Castillo,,Cátulo Castillo,1954-08-31,,"Al paso tardo de un pobre viejo
puebla de notas el arrabal,
con un concierto de vidrios rotos,
el organito crepuscular.
Dándole vueltas a la manija
un hombre rengo marcha detrás
mientras la dura pata de palo
marca del tango el compás.

En las notas de esa musiquita
hay no sé qué de vaga sensación
que el barrio parece
impregnarse todo de emoción.
Y es porque son tantos los recuerdos
que a su paso despertando va
que llena las almas con un gran deseo de llorar.

Y al triste son
de esa su canción
sigue el organito lerdo
como sembrando a su paso
más pesar en el recuerdo,
más calor en el ocaso.
Y allá se va
de su tango al son
como buscando la noche
que apagará su canción.

Cuentan las viejas que todo saben
y que el pianito junta a charlar
que aquel viejito tuvo una hija
que era la gloria del arrabal.
Cuentan que el rengo era su novio
y que en el corte no tuvo igual...
Supo con ella, y en las milongas,
con aquel tango reinar.

Pero vino un día un forastero,
bailarín, buen mozo y peleador
que en una milonga
compañera y pierna le quitó.
Desde entonces es que padre y novio
van buscando por el arrabal
la ingrata muchacha
al compás de aquel tango fatal.",Carlos DI SARLI,Instrumental,,Organito de la tarde (TANGO),https://www.el-recodo.com/music?id=02392&lang=en
,,Héctor Sapelli,,Lalo Etchegoncelay,1958-01-16,,"Adiós corazón...
te decían los muchachos.
Adiós corazón...
aquel día dije yo.
Y comenzaste a sonreir
porque la frase te agradó
y por las calles te seguí
diciendo así, con emoción:
Adiós corazón...
si usted quiere conversamos;
soñé con su amor...
quiero ver qué hay de verdad.
Y mi presencia te turbó:
quedaste casi sin hablar
cuando dijiste con tu adiós:
¡Hasta mañana, corazón!

Adiós corazón...
de tu mano va otra mano.
Adiós corazón...
quién pudiera ser tu amor.
¡Que nunca tengas que llorar!
¡Que no conozcas el dolor!
Y que en tus ojos, el amor,
viva radiante como hoy.
Adiós corazón...
si usted quiere conversamos;
soñé con su amor...
quiero ver qué hay de verdad.
Y mi presencia te turbó:
quedaste casi sin hablar
cuando dijiste con tu adiós:
¡Hasta mañana, corazón!",Carlos DI SARLI,Roberto Florio,,Adiós corazón (TANGO),https://www.el-recodo.com/music?id=02393&lang=en
,,Francisco García Jiménez,,Carlos Di Sarli,1947-01-14,,"En los ojos llevaba la noche
y el amor en la boca...
Carnaval en su coche
la paseaba triunfal.
Serpentina de mágico vuelo
fue su amor de una noche;
serpentina que luego arrastró mi dolor
enredada en las ruedas de un coche
cuando el corso en la sombra quedó...

Otra vez, Carnaval,
en tu noche me cita
la misma bonita
y audaz mascarita...
Otra vez, Carnaval,
otra vez, como ayer,
sus locos amores
le vuelvo a creer.
Y acaso la llore
mañana otra vez...

Fugitivas se irán en la aurora
la ventura y la risa...
¡Tendrán todas mis horas
una gris soledad!
En mis labios habrá la ceniza
de su nuevo desaire;
y despojos del sueño tan sólo serán,
un perfume rondando en el aire
y en el suelo un pequeño antifaz...",Carlos DI SARLI,Jorge Duran,,Otra vez carnaval (Noches de carnaval) (TANGO),https://www.el-recodo.com/music?id=02394&lang=en
,,,,Agustín Bardi,1941-12-11,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,El paladín (TANGO),https://www.el-recodo.com/music?id=02395&lang=en
,,,,Roberto Firpo,1942-06-23,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,El amanecer (TANGO),https://www.el-recodo.com/music?id=02396&lang=en
,,Pascual Contursi,,Manuel Aróztegui,1952-10-27,,"Esas minas veteranas
que siempre se conformaban,
que nunca la protestaban
aunque picara el buyón,
viviendo así en su cotorro
pasando vida pibera
en una pobre catrera
que le faltaba el colchón.

¡Cuántas veces a mate amargo
el estomago engrupía
y pasaban muchos días
sin tener para morfar!
La catrera era el consuelo
de esos ratos de amargura
que, culpa 'e la mishiadura
no tenía pa' morfar.

Se acabaron esas minas
que siempre se conformaban
con lo que el bacán les daba
si era bacán de verdad.
Hoy sólo quieren vestidos
y riquísimas alhajas,
coches de capota baja
pa' pasear por la ciudad.

Nadie quiere conventillo
ni ser pobre costurera,
ni tampoco andar fulera...
Sólo quieren aparentar
ser amigo de fulano
y que tenga mucho vento
que alquile departamento
y que la lleve al Pigall.

Tener un coche,
tener mucama
y gran 'chapó'
y pa' las farras
un gigoló;
pieza alfombrada
de gran parada,
tener sirvienta
y... ¡qué se yo!
Y así...
de esta manera
en donde quiera
'champán tangó'.",Carlos DI SARLI,Instrumental,,Champagne tango (TANGO),https://www.el-recodo.com/music?id=02397&lang=en
,,Héctor Polito,,Eduardo Arolas,1941-03-06,,"Yo también en otros tiempos,
que nunca olvido,
con mi amor y tu bondad,
igual que la cachila,
hice mi nido.
En tu amor calmé mi sed
mi sed y mi locura
en tu agua pura
y mi sangre con ternura
gota a gota te ofrendé.

Pero una noche un viento malo, fatal
un vendaval
sin compasión
a nuestro hogar destruyó.

Jamás pensé,
¡ay!, jamás creí
sufrir así
la fatalidad.
La congoja y la aflicción
en soledad
con sus espinas
desgarran más.
De aquel amor,
sol de juventud,
que fue un altar
hoy sólo quedó
esta angustia sin final
desolación del corazón.

Nunca más mis ojos tristes
verán tu aurora
y mi pobre corazón,
igual que la cachila,
de pena llora.
Mi tremenda soledad
se ahoga con el llanto
de mi desvelo
desde el día que hasta el cielo
el Supremo te llevó.",Carlos DI SARLI,Instrumental,,La cachila (TANGO),https://www.el-recodo.com/music?id=02398&lang=en
,,,,Martín Lasala Álvarez,1941-04-18,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,El estagiario (TANGO),https://www.el-recodo.com/music?id=02399&lang=en
,,Héctor Marcó,,Carlos Di Sarli,1955-01-21,,"Este siglo es de locura,
de robot y escaparate.
Buenos Aires sigue el ritmo
de París y Budapest.
Todo el mundo se alza de hombros
y habla de la Bomba H,
quiera Dios que no te cache
una del Follies Bergere.
Ríe el pobre, canta el rico,
ronca el tano en su cotorro.
Se inventó el avión a chorro
y el chorro raja en avión.
Viene Gina, se va Gina
y de un pícaro planeta
un marciano en camiseta
baja en plato volador.

Y rescostao, pensativo,
contra el farol de una esquina,
Juan Porteño se santigua
mordiendo el pucho, tristón.
Piensa acaso, en su nostalgia,
que aquella ciudad bajita
de románticas casitas
sólo está en su corazón.
Despunta la madrugada,
Buenos Aires rompe el sueño
y allá se va Juan Porteño,
silbando un tango llorón.

Hoy se dice que la luna
es un queso fluorescente
y hasta un croto bajo el puente
oye radio en su atelier.
Greta quiere ser artista
con su espejo ríe y sueña
y no ve que se le quema
la comida en la sartén.
Por TV hoy se palpita
el campeonato en la catrera,
de Nueva York y Avellaneda
dan las fijas por radar.
Este siglo es de locura
y si Marte busca arrime
es que ha visto una bikini
por la playa caminar.",Carlos DI SARLI,Mario Pomar,,Juan Porteño (TANGO),https://www.el-recodo.com/music?id=02400&lang=en
,,Miguel Osés,,Jesus Ventura,1954-06-30,,"Yo te he visto pasar por la acera
con un gesto de desolación
y al cruzar no miraste siquiera,
que entendía tu desilusión.
Te ha dejado, lo sé, la malvada
y al calor de otros ojos se va;
ya lo ves cómo no queda nada
de ese amor que matándote está.

Volvé, jamás otras manos
cual las de tu mujercita
harán por la tardecita
los mates que cebo yo.
Que en su espuma te contaba
que además de su dulzura
allí estaba la ternura
de aquella que lo cebó.

Y por mucho que te quieran
siempre serán artificios,
nadie hará los sacrificios
que hizo por vos tu mujer.
En mis noches de vigilia
acongojada no duermo
sabiendo que estás enfermo
sin poderte socorrer.

Allá en la noche callada
te veo triste y burlado
por aquella que ha llevado
mi vida y mi corazón.
Volvé que aquí has de olvidarla,
mi pecho siempre te espera,
ya sabrá tu compañera
cicatrizar tu pasión.",Carlos DI SARLI,Instrumental,,A la gran muñeca (TANGO),https://www.el-recodo.com/music?id=02401&lang=en
,,Juan Fulginiti,,Juan Epumer,1930-06-03,,"Vencido por el fuego de aquel amor ideal
que me inspiró el encanto divino de tu ser,
como un reptil inmundo llegué hasta el lodazal
donde tenía un precio tu cuerpo de mujer.
Te había imaginado tan noble, como fiel,
después de aquella triste y amarga confesión,
que ciego entre las garras de tu cariño cruel,
como un vulgar suicida, dejé mi corazón.

Pero, no cantes victoria,
porque hayas echado buena,
que también sus negras penas
hay en las cartas del placer.
Vos naciste con el barro
y aunque te sientas sultana,
si no es hoy, será mañana,
pero al barro has de volver.

El lujo que hoy envuelve tu cuerpo escultural,
lo que es, sin duda, el fruto de otro vendido amor,
te hace olvidar que un día fuiste a un hospital
y en él, junto a tu lecho, lloré por tu dolor.
También hoy, hace un año, que en la amargura atroz
de esta prisión deliro por verte y comprendí,
que solo he de sentirme cuando en el mundo a vos
te paguen con el cobre que me has pagado a mí.",Carlos DI SARLI,Instrumental,,No cantes victoria (TANGO),https://www.el-recodo.com/music?id=02402&lang=en
,,,,Luis Teisseire,1952-10-27,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,Bar exposición (TANGO),https://www.el-recodo.com/music?id=02403&lang=en
,,José Horacio Staffolani,,Pascual Verzino y Romeo Guidi,1930-11-04,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,Añorándote (TANGO),https://www.el-recodo.com/music?id=02404&lang=en
,,Homero Manzi,,Charlo,1953-06-26,,"Te oí decir..adiós, adiós...
Cerré los ojos y oculté el dolor...
Sentí tus pasos cruzando la tarde
y no te atajaron mis manos cobardes.
Mi corazón, lloró de amor
y en el silencio resonó tu voz,
tu voz querida, lejana y perdida,
tu voz que era mía... tu pálida voz.

En las noches desoladas, que sacude el viento,
brillan las estrellas frías del remordimiento
y me engaño que habrás de volver otra vez
desatando el olvido y el tiempo.

Siento que tus pasos vuelven por la senda amiga.
Oigo que me nombras llena de mortal fatiga,
para qué si ya sé que es inútil mi afán,
nunca... nunca... vendrás.

Te vi partir, dijiste adiós,
temblé de angustia y oculté mi dolor.
Después, pensando que no volverías
traté de alcanzarte y ya no eras mía.
Mi corazón, sangró de amor,
y en el recuerdo resonó tu voz...
tu voz querida, lejana y perdida,
tu voz aterida, tu pálida voz.",Carlos DI SARLI,Mario Pomar,,Tu palida voz (VALS),https://www.el-recodo.com/music?id=02405&lang=en
,,Ricardo Podesta,,Ernesto Ponzio,1955-01-31,,"En el tango soy tan taura
que cuando hago un doble corte
corre la voz por el Norte,
si es que me encuentro en el Sud.
Y pa bailar la Yuyeta
si es que me visto a la moda
la gente me dice toda
Dios le dé, Dios le dé, vida y salud.

Calá, che, calá.
Siga el piano, che,
dése cuenta usted
y después dirá
si con este taita
podrán por el Norte
calá che, qué corte,
calá, che, calá.

No hay teatro que no conozca
pues hasta soy medio artista
y luego tengo una vista
que hasta dicen que soy luz.
Y la forma de mi cuerpo
arreglada a mi vestido
me hacen mozo muy querido,
lo juro, lo juro por esta cruz.

Yo soy el taita del barrio,
pregúnteselo a cualquiera.
No es esta la vez primera
en que me han de conocer.
Yo vivo por San Cristóbal,
me llaman Don Juan Cabello,
anóteselo en el cuello
y ahí va, y ahí va, así me quieren ver.",Carlos DI SARLI,Instrumental,,Don Juan (TANGO),https://www.el-recodo.com/music?id=02406&lang=en
,,José Martínez,,José Martínez,1941-06-21,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Carlos DI SARLI,Instrumental,,La torcacita (TANGO),https://www.el-recodo.com/music?id=02407&lang=en
,,Juan Carlos Barbará y Rafael Dadino,,Juan Carlos Barbará y Rafael Dadino,1940-02-09,,"Milonga del sentimiento,
gloriosa milonga mía,
toda mi melancolía
me la matás con tu acento.
Es que vos sos un portento
de belleza arrabalera,
porque evocas donde quiera
fiel, las glorias de mi ayer.

Sos un montón de emociones
que desparrama ternuras,
recuerdos de las locuras
de mi taita juventud.
Con vos yo vivo la vida,
milonga del corazón,
porque sos la bendecida
de mi primera ilusión.

Por vos cantó la mozada
de Palermo a Puente Alsina,
en sus guitarras genuinas
las coplas de mi barriada.
Milonga que fuiste reina
en los patios coloniales,
a la luz de los puñales
de los guapos del lugar.",Carlos DI SARLI,Roberto Rufino,,Milonga del sentimiento (MILONGA),https://www.el-recodo.com/music?id=02408&lang=en
,,Jean De Kelsar,,Augusto Berto,1930-11-04,,"Loco de tanto quererte
Vivo implorando ese día
En que mi vida vacía
Corte el puñal de la muerte

Porque tal vez ya sin verte
Cese el dolor de esta pena
Que a vivir me encadena
Y no podré olvidar",Carlos DI SARLI,Ernesto Fama,,Flora (TANGO),https://www.el-recodo.com/music?id=02409&lang=en
,,Alfredo Marino,,Ernesto de la Cruz,1951-05-12,,"Como con bronca, y junando
de rabo de ojo a un costado,
sus pasos ha encaminado
derecho pa'l arrabal.
Lo lleva el presentimiento
de que, en aquel potrerito,
no existe ya el bulincito
que fue su único ideal.

Recordaba aquellas horas de garufa
cuando minga de laburo se pasaba,
meta punguia, al codillo escolaseaba
y en los burros se ligaba un metejón;
cuando no era tan junao por los tiras,
la lanceaba sin tener el manyamiento,
una mina le solfeaba todo el vento
y jugó con su pasión.

Era un mosaico diquero
que yugaba de quemera,
hija de una curandera,
mechera de profesión;
pero vivía engrupida
de un cafiolo vidalita
y le pasaba la guita
que le shacaba al matón.

Frente a frente, dando muestras de coraje,
los dos guapos se trenzaron en el bajo,
y el ciruja, que era listo para el tajo,
al cafiolo le cobró caro su amor.

Hoy, ya libre'e la gayola y sin la mina,
campaneando un cacho’e sol en la vedera,
piensa un rato en el amor de su quemera
y solloza en su dolor.",Carlos DI SARLI,Instrumental,,El ciruja (TANGO),https://www.el-recodo.com/music?id=02410&lang=en
,,Homero Manzi,,Lucio Demare,1945-03-08,,"Ella vino una tarde y era triste
fantasma de silencio y de canción,
llegaba desde un mundo que no existe.
Vacío de esperanza el corazón.
Era nube, sin rumbo ni destino,
tenía la ternura del adiós.
Mi paso la siguió por cien caminos
y un día mi fatiga la alcanzó.

Ella,
piel de sombra, voz ausente.
Ella, en mis brazos se durmió.
Juntos, sin saberlo torpemente,
aprendimos duramente
las verdades del amor.
Ella, floreció bajo la luna.
Ella, renació para mi afán.
Juntos, sin angustias, sin reproche,
sin pasado, noche a noche,
aprendimos a soñar.

Sus palabras que estaban ateridas.
Entonces se encendieron de emoción.
Con fuego de mi amor volvió a la vida,
la que era sólo el eco de un adiós.
Ella vino a mi mano en el invierno,
vacío de esperanza el corazón.
Hoy vive entre mis sueños y es eterno
su sueño de mujer y de canción.",Carlos DI SARLI,Jorge Duran,,Solamente ella (TANGO),https://www.el-recodo.com/music?id=02411&lang=en
