unique_value,repetition_count,position,same_orchestra,orchestra_value,group_data
tango,3,52,True,Enrique Rodríguez,"                      title            artist1  ...   ano         artist2
0    Cómo se pianta la vida  Enrique Rodríguez  ...  1940  Armando Moreno
1  En la buena y en la mala  Enrique Rodríguez  ...  1940  Armando Moreno
2                 La gayola  Enrique Rodríguez  ...  1941  Armando Moreno

[3 rows x 13 columns]"
cortina entera,1,55,True,Pomplamoose,"                                               title  ...         artist2
0  Les yeux noirs (feat. The Vignes Rooftop Revival)  ...  John Schroeder

[1 rows x 13 columns]"
tango,3,56,True,Osvaldo Pugliese,"         title           artist1  ...   ano artist2
0   Pata ancha  Osvaldo Pugliese  ...  1957     NaN
1   La bordona  Osvaldo Pugliese  ...  1958     NaN
2  Gallo ciego  Osvaldo Pugliese  ...  1959     NaN

[3 rows x 13 columns]"
cortina entera,1,59,True,Amy Winehouse,"                  title        artist1          album  ...    bitrate   ano artist2
0  You Know I’m No Good  Amy Winehouse  Back to Black  ...  733.75331  2007     NaN

[1 rows x 13 columns]"
tango milonga,3,60,True,Francisco Lomuto,"                       title           artist1  ...   ano        artist2
0  No hay tierra como la mia  Francisco Lomuto  ...  1939  Fernando Díaz
1           Parque Patricios  Francisco Lomuto  ...  1941  Fernando Díaz
2           Que tiempo aquel  Francisco Lomuto  ...  1938     Jorge Omar

[3 rows x 13 columns]"
cortina entera,1,63,True,The Weeknd,"             title     artist1                 album  ...      bitrate   ano artist2
0  Save Your Tears  The Weeknd  After Hours (Deluxe)  ...  1660.260558  2020     NaN

[1 rows x 13 columns]"
tango,3,64,True,Francisco Canaro,"             title           artist1  ...   ano        artist2
0            Dónde  Francisco Canaro  ...  1935  Roberto Maida
1            Ciego  Francisco Canaro  ...  1935  Roberto Maida
2  Mi noche triste  Francisco Canaro  ...  1936  Roberto Maida

[3 rows x 13 columns]"
cortina entera,1,67,True,Sia,"    title artist1                                album  ...    bitrate   ano artist2
0  Genius     Sia  Labrinth, Sia, Diplo present... LSD  ...  976.03297  2019     LSD

[1 rows x 13 columns]"
tango,3,68,True,Juan D'Arienzo,"                  title         artist1  ...   ano          artist2
0  No nos veremos nunca  Juan D'Arienzo  ...  1944  Alberto Echagüe
1          La madrugada  Juan D'Arienzo  ...  1944  Alberto Echagüe
2               Mandria  Juan D'Arienzo  ...  1939  Alberto Echagüe

[3 rows x 13 columns]"
cortina entera,1,71,True,Bob Dylan,"       title    artist1   album  year  ... extension      bitrate   ano artist2
0  Hurricane  Bob Dylan  Desire  2014  ...      flac  1003.635439  2014     NaN

[1 rows x 13 columns]"
tango,3,72,True,Ricardo Malerba,"                     title          artist1  ...   ano         artist2
0            Embrujamiento  Ricardo Malerba  ...  1943  Orlando Medina
1              Gitana rusa  Ricardo Malerba  ...  1942  Orlando Medina
2  La piba de los jazmines  Ricardo Malerba  ...  1943  Orlando Medina

[3 rows x 13 columns]"
cortina entera,1,75,True,Lana Del Rey,"                title       artist1          album  ...     bitrate   ano artist2
0  Summertime Sadness  Lana Del Rey  Bravo Hits 78  ...  946.208292  2012     NaN

[1 rows x 13 columns]"
