title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
Reminiscencias,Miguel Caló / Roberto Luque,1962-09,tango vals,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1962_Caló - Roberto Luque_Reminiscencias.mp3",False,False,0,False,False,False
Vanidad,Miguel Caló / Roberto Luque,1962-09,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1962_Caló - Roberto Luque_Vanidad.mp3",False,False,0,False,False,False
Yo pequé,Miguel Caló / Roberto Luque,1962-08-21,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1962_Caló - Roberto Luque_Yo peque.mp3",False,False,0,False,False,False
Bebiendo contigo,Miguel Caló / Alberto Podestá,1963-04-23,tango,Musica: Enrique Francini - Letra: Carlos Bahr,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Alberto Podesta_Bebiendo contigo.mp3",False,False,0,False,False,False
Carta para Renée,Miguel Caló / Alberto Podestá,1963-05-17,tango,Musica: Manuel Sucher - Letra: Marvil,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Alberto Podesta_Carta para Rene.mp3",False,False,0,False,False,False
El mismo final,Miguel Caló / Alberto Podestá,1963-04-16,tango,Musica: Armando Pontier - Letra: Federico Silva,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Alberto Podesta_El mismo final.mp3",False,False,0,False,False,False
A las estrellas,Miguel Caló,1963-06-07,tango,Musica: Armando Baliotti,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Instr_A las estrellas.flac",False,False,0,False,False,False
Brazo de oro,Miguel Caló,1963-04-19,tango,Musica: José Basso,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Instr_Brazo de oro.flac",False,False,0,False,False,False
Para el recuerdo (A Fiore),Miguel Caló,1963-05-24,tango,Musica: Manuel Sucher,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Instr_Para el recuerdo (A Fiore).flac",False,False,0,False,False,False
Soy melodioso (Para Osmar Maderna),Miguel Caló,1963-05-24,tango,Musica: Orlando Trípodi y Miguel Caló,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Instr_Para Osmar Maderna.flac",False,False,0,False,False,False
A mucha honra,Miguel Caló / Luis Correa,1963-12-04,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Luis Correa_A mucha honra.mp3",False,False,0,False,False,False
Madre hay una sola,Miguel Caló / Raúl Berón,1963-05-07,tango,Musica: Agustín Bardi - Letra: José de la Vega,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Raul Beron_Madre hay una sola.mp3",False,False,0,False,False,False
Pa´lo que te va a durar,MIguel Caló,1963,tango,Musica: Guillermo Barbieri - Letra: Celedonio Flores,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Raul Beron_Pa´lo que te va a durar.mp3",False,False,0,False,False,False
Soy milonguero,Miguel Caló / Raúl Berón,1963-04-23,tango,Musica: Miguel Caló - Letra: Mario César Gomila,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Raul Beron_Soy milonguero.mp3",False,False,0,False,False,False
Aconsejando,Miguel Caló / Roberto Luque,1963-11-19,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Roberto Luque_Aconsejando.mp3",False,False,0,False,False,False
Tengo,Miguel Caló / Roberto Luque,1963-11-19,tango,Musica: Roberto Pérez Prechi - Letra: Eugenio Majul,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1963_Caló - Roberto Luque_Tengo.mp3",False,False,0,False,False,False
A media luz,Miguel Caló,1964-04-24,tango,Musica: Edgardo Donato - Letra: Carlos Lenzi,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Instr_A media luz.flac",False,False,0,False,False,False
El choclo,Miguel Caló,1964-04-07,tango,Musica: Angel Villoldo - Letra: Angel Villoldo,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Instr_El choclo.flac",False,False,0,False,False,False
La cumparsita,Miguel Caló,1964-04-24,tango,Musica: Gerardo Matos Rodriguez - Letra: Gerardo Matos Rodriguez,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Instr_La cumparsita.flac",False,False,0,False,False,False
Luna del viejo castillo,Miguel Caló,1964-04-14,tango,Musica: Rentaro Taki,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Instr_Luna del viejo castillo.flac",False,False,0,False,False,False
Nadine,Miguel Caló,1964-04-07,tango,Musica: Orlando Trípodi y Miguel Caló,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Instr_Nadine.flac",False,False,0,False,False,False
Sans souci,Miguel Caló,1964-04-14,tango,Musica: Enrique Delfino,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Instr_Sans Souci.flac",False,False,0,False,False,False
Dos fracasos,MIguel Caló,1964,tango,Miguel Caló & Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Luis Correa_Dos fracasos.flac",False,False,0,False,False,False
Adiós pampa mía,Miguel Caló / Ranko Fujisawa,1964-03-13,tango,Musica: Francisco Canaro y Mariano Mores - Letra: Ivo Pelay,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Ranko Fujisawa_Adios pampa mia.mp3",False,False,0,False,False,False
Caminito,Miguel Caló / Ranko Fujisawa,1964-03-13,tango,Musica: Juan de Dios Filiberto - Letra: Gabino Coria Peñaloza,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Ranko Fujisawa_Caminito.mp3",False,False,0,False,False,False
Mama yo quiero un novio,Miguel Caló / Ranko Fujisawa,1964-03-13,tango,Musica: Ramón Collazo - Letra: Roberto Fontaina,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Ranko Fujisawa_Mama yo quiero un novio.mp3",False,False,0,False,False,False
Noche de plataforma,Miguel Caló / Ranko Fujisawa,1964-03-13,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Ranko Fujisawa_Noche de Plataforma.mp3",False,False,0,False,False,False
Que falta que me hacés,Miguel Caló / Ranko Fujisawa,1964-03-13,tango,Musica: Armando Pontier y Miguel Caló - Letra: Federico Silva,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Ranko Fujisawa_Que falta que me haces.mp3",False,False,0,False,False,False
Yira yira,Miguel Caló / Ranko Fujisawa,1964,tango,Musica: Enrique Santos Discepolo - Letra: Enrique Santos Discepolo,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1964_Caló - Ranko Fujisawa_Yira yira.mp3",False,False,0,False,False,False
Uno,MIguel Caló,1965,tango,,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Alberto Podesta_Uno.mp3",False,False,0,False,False,False
Uno,MIguel Caló,1965,tango,Musica: Mariano Mores - Letra: Enrique Santos Discepolo,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Instr_Uno.mp3",False,False,0,False,False,False
A media luz,MIguel Caló,1965,tango,Musica: Edgardo Donato - Letra: Carlos Lenzi,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_A media luz.mp3",False,False,0,False,False,False
Adiós pampa mía,Miguel Caló / Lucho Gatica,1965,tango,Musica: Francisco Canaro y Mariano Mores - Letra: Ivo Pelay,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_Adios Pampa mia.mp3",False,False,0,False,False,False
Al compas del corazon,MIguel Caló,1965,tango,Musica: Domingo Federico - Letra: Homero Expósito,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_Al compas del corazon.mp3",False,False,0,False,False,False
Alma de bohemio,Miguel Caló / Lucho Gatica,1965,tango,Musica: Roberto Firpo - Letra: Juan Andrés Caruso,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_Alma de bohemio.mp3",False,False,0,False,False,False
Cada dia te extraño mas,Miguel Caló / Lucho Gatica,1965,tango,Musica: Armando Pontier - Letra: Carlos Bahr,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_Cada dia te extraño mas.mp3",False,False,0,False,False,False
Caminito,Miguel Caló / Lucho Gatica,1965,tango,Musica: Juan de Dios Filiberto - Letra: Gabino Coria Peñaloza,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_Caminito.mp3",False,False,0,False,False,False
La copa del olvido,Miguel Caló / Lucho Gatica,1965,tango,Musica: Enrique Delfino - Letra: Alberto Vacarezza,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_La copa del olvido.mp3",False,False,0,False,False,False
Mano a mano,MIguel Caló,1965,tango,Musica: Carlos Gardel - Letra: Celedonio Flores,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_Mano a mano.mp3",False,False,0,False,False,False
Mañana iré temprano,Miguel Caló / Lucho Gatica,1965,tango,Musica: Enrique Francini - Letra: Carlos Bahr,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1965_Caló - Lucho Gatica_Mañana ire temprano.mp3",False,False,0,False,False,False
