title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
Naipe marcado,Francisco Canaro / Alberto Arenas,1995,tango,,"D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Evocando el 40\Francisco Canaro, canta Alberto Arenas - Naipe marcado.flac",True,True,2,False,True,False
La puñalada,Francisco Canaro,1995,tango milonga,Celedonio Esteban Flores/Pintin Castellanos,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Evocando el 40\Francisco Canaro - La puñalada.flac,True,True,3,False,True,False
Queja indiana,Francisco Canaro / Carlos Roldán,1995,tango,,"D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Evocando el 40\Francisco Canaro, canta Carlos Roldán - Queja indiana.flac",True,True,2,False,True,False
Confesión,Francisco Canaro / Mario Alonso,1995,tango,,"D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Evocando el 40\Francisco Canaro, canta Mario Alonso - Confesión.flac",True,True,2,False,True,False
Lorenzo,Francisco Canaro,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Instrumental - Lorenzo.flac,True,True,3,False,True,False
Lo Que Nunca Te Dirán,Francisco Canaro / Mario Alonso,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - Lo Que Nunca Te Dirán.flac,True,True,2,False,True,False
Cualquier Cosa,Francisco Canaro / Mario Alonso,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - Cualquier Cosa.flac,True,True,2,False,True,False
La cumparsita,Francisco Canaro / Mario Alonso,1995,tango,"Aut: Enrique Pedro Maroni, Pascual Contursi, Com: Gerardo Matos Rodríguez",D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - La Cumparsita.flac,True,True,3,False,True,False
Sentimiento gaucho,Francisco Canaro / Alberto Arenas,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Alberto Arenas - Sentimiento Gaucho.flac,True,True,7,False,True,False
Bandoneón Arrabalero,Francisco Canaro / Mario Alonso,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - Bandoneón Arrabalero.flac,True,True,4,False,True,False
El Opio,Francisco Canaro,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Instrumental - El Opio.flac,True,True,2,False,True,False
Lo Han Visto Con Otra,Francisco Canaro / Mario Alonso,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - Lo Han Visto Con Otra.flac,True,True,3,False,True,False
Esta noche me emborracho,Francisco Canaro / Alberto Arenas,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Alberto Arenas - Esta Noche Me Emborracho.flac,True,True,2,False,True,False
Griseta,Francisco Canaro / Mario Alonso,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - Griseta.flac,True,True,2,False,True,False
El Chino Pantaleón,Francisco Canaro / Mario Alonso / Alberto Arenas,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - Alberto Arenas - El Chino Pantaleón.flac,True,True,2,False,True,False
El Tigre,Francisco Canaro,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Instrumental - El Tigre.flac,True,True,3,False,True,False
De Mi Barrio,Francisco Canaro / Mario Alonso,1995,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tiempos Viejos\Francisco Canaro - Mario Alonso - De Mi Barrio.flac,True,True,3,False,True,False
Reliquias Porteñas,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - Reliquias Porteñas.flac,True,False,0,False,True,False
El Internado,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - El Internado.flac,True,True,1,False,True,False
Germaine,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - Germaine.flac,True,False,0,False,True,False
Se Dice De Mí,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - Se Dice De Mí.flac,True,True,1,False,True,False
Joaquina,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - Joaquina.flac,True,True,2,False,True,False
A Don Pirincho Canaro,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - A Don Pirincho Canaro.flac,True,True,7,False,True,False
Champagne Tango,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - Champagne Tango.flac,True,True,1,False,True,False
La Milonga De Buenos Aires,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - La Milonga De Buenos Aires.flac,True,True,1,False,True,False
Charamusca,Quinteto Francisco Canaro,1996,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - Charamusca.flac,True,True,1,False,True,False
La tablada,Quinteto Francisco Canaro,1996,tango,Francisco Canaro,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Con La Dirección Musical De Antonio D'Alessandro\Quinteto Francisco Canaro - Instrumental - La Tablada.flac,True,False,0,False,True,False
